Importador (prob.);Cuit;Mes/Año;Fecha oficialización;Destinación;Despacho;Posición SIM;Descripción;Descripción NCM;Descripción SIM;Aduana;Origen;Pais de procedencia;Medio;Transporte;Cond. venta;Kg. netos;Kg. Brutos;Divisa;Flete;Cantidad estadística;Unidad estadística;Unidad declarada;Seguro dólar;Estado de la mercadería;Item - sub ítem;Cantidad declarada;Precio unitario en divisas;Fob total en divisas;Precio unitario en dólares;Fob total en dólares;CIF;Marca;Modelo;Versión;Código;Presentación;Vencimiento;Base imponible;% Derechos;Derechos de importación;Derechos de importación en garantía;% Estadística;Tasa estadística;Tasa estadistica monto maximo;% IVA;IVA;IVA en garantía;% IVA adicional;IVA adicional insc.;% IIBB;IIBB;% Ganancias;Impuesto a las ganancias;Impuesto a las ganancias en garantía;% Arancel SIM;Arancel SIM;Código;Detalle;;;;;;;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;CHINA;ZF LA PLATA (BS AS);Camion;;;7156,14;8467,81;Euro;890,54;0;No Encontrado;Unidad;669,33;nvo.s/uso imp;0008 - 0000;1;58464,52;58464,52;66123,37;66123,37;67683,24;BOMAG;BW 24 RH;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 004040 CILINDRADA EN cm3. ;ZC; 000075 POTENCIA EN kW. ;;;;
ENSIGN ARGENTINA SA;30692298426;mar-20;9/3/2020;ZONA FRANCA;20258ZFI5000014X;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Z.F. GENERAL PICO;ESTADOS UNIDOS;ZF GRAL PICO L PAMPA;Camion;;MUL;4427,47;5238,99;Dólar Estadounidense;3262,4;0;No Encontrado;Unidad;241,69;No Encontrado;0010 - 0000;1;20906,4;20906,4;20906,4;20906,4;24410,49;INTERNATIONAL;S/M;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 001980 AÑO DE FABRICACION. ;ZB; 000450 CILINDRADA EN cm3. ;ZC; 000186 POTENCIA EN kW. ;;;;
MYN GROUP;30712192484;mar-20;11/3/2020;CONSUMO;20001IC06002610A;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);Buenos Aires;CHINA;CHINA;No Declara;;CIF;12203,24;14440;Dólar Estadounidense;1747,74;0;No Encontrado;Unidad;236,12;nvo.s/uso imp;0001 - 0000;1;44718;44718;44718;44718;46701,86;SINOMACH;LSS214/2;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;6644;0;0;0;0;0;5681;0;0;5410;0;1353;0;3246;0;0;10;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 005900 CILINDRADA EN cm3. ;ZC; 000097 POTENCIA EN kW. ;;;;
HAULOTTE ARGENTINA SOCIEDAD AN;30710529449;mar-20;12/3/2020;CONSUMO;20001IC04045530G;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;Buenos Aires;FRANCIA;FRANCIA;Acuatica;MEDUFR878531;CFR;6042,47;7150,01;Dólar Estadounidense;2157,05;0;No Encontrado;Unidad;264,7;nvo.s/uso imp;0001 - 0000;1;50783,08;50783,08;50783,08;50783,08;53204,83;HAULOTTE;HTL3207;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;7449;0;0;0;0;0;6369;0;0;6065;0;1519;0;0;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002020 AÑO DE FABRICACION. ;ZB; 000070 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
NABORS INTERNATIONAL ARGENTINA;33690244239;mar-20;12/3/2020;CONSUMO;20001IC83000028G;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Buenos Aires;ESTADOS UNIDOS;ESTADOS UNIDOS;No Declara;;FOB;138069;0;Dólar Estadounidense;26308,87;0;No Encontrado;Unidad;3138,7;No Encontrado;0001 - 0000;1;158700;158700;158700;158700;188147,57;DOOSAN;DL420;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;27836;0;0;0;0;0;0;0;0;0;10;CA00; ;ZA; 002010 AÑO DE FABRICACION. ;ZB; 007000 CILINDRADA EN cm3. ;ZC; 000425 POTENCIA EN kW. ;;;;
NABORS INTERNATIONAL ARGENTINA;33690244239;mar-20;12/3/2020;CONSUMO;20001IC83000030W;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Buenos Aires;ESTADOS UNIDOS;ESTADOS UNIDOS;No Declara;;FOB;139461;0;Dólar Estadounidense;26305,85;0;No Encontrado;Unidad;3138,34;No Encontrado;0001 - 0000;1;160300;160300;160300;160300;189744,19;DOOSAN;DL420;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;28079;0;0;0;0;0;0;0;0;0;10;CA00; ;ZA; 002010 AÑO DE FABRICACION. ;ZB; 007000 CILINDRADA EN cm3. ;ZC; 000425 POTENCIA EN kW. ;;;;
NABORS INTERNATIONAL ARGENTINA;33690244239;mar-20;12/3/2020;CONSUMO;20001IC83000038H;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Buenos Aires;ESTADOS UNIDOS;COLOMBIA;No Declara;;FOB;88218;0;Dólar Estadounidense;10806,39;0;No Encontrado;Unidad;1954,8;No Encontrado;0001 - 0000;1;101400;101400;101400;101400;114161,19;CAT;950H;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;17795;0;0;0;0;0;0;0;0;0;10;CA00; ;ZA; 002010 AÑO DE FABRICACION. ;ZB; 007000 CILINDRADA EN cm3. ;ZC; 000425 POTENCIA EN kW. ;;;;
NABORS INTERNATIONAL ARGENTINA;33690244239;mar-20;13/3/2020;CONSUMO;20001IC83000044E;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Buenos Aires;ESTADOS UNIDOS;COLOMBIA;No Declara;;FOB;90480;0;Dólar Estadounidense;10855,46;0;No Encontrado;Unidad;2014,03;No Encontrado;0001 - 0000;1;104000;104000;104000;104000;116869,49;CAT;950H;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;18063;0;0;0;0;0;0;0;0;0;10;CA00; ;ZA; 002010 AÑO DE FABRICACION. ;ZB; 007000 CILINDRADA EN cm3. ;ZC; 000425 POTENCIA EN kW. ;;;;
HALLIBURTON ARGENTINA SOCIEDAD;30503610988;mar-20;13/3/2020;CONSUMO;20008IC04002378Z;8427.20.90.990L;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;Campana;POLONIA;BELGICA;Acuatica;4514826104;FCA;62402,18;73840;Dólar Estadounidense;23505,99;0;No Encontrado;Unidad;6752,46;nvo.s/uso imp;0001 - 0000;2;326000;652000;326000;652000;682258,45;KALMAR;DCG250 12;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;95516;0;0;0;0;0;81666;0;0;0;0;0;0;0;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 002500 POTENCIA EN kW. ;ZC; 001800 CILINDRADA EN cm3. 
MOLINO CORONEL SUAREZ SA;30708361085;mar-20;16/3/2020;CONSUMO;20001IC04047308L;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Buenos Aires;CHINA;CHINA;Acuatica;20/02068;FOB;4620,68;5467,62;Dólar Estadounidense;1060,82;0;No Encontrado;Unidad;151,61;nvo.s/uso imp;0001 - 0000;1;14100;14100;14100;14100;15312,43;EVERUN;ER2500;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;2144;0;0;0;0;0;2255;0;0;0;0;0;0;0;0;0;10;CA00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 002000 CILINDRADA EN cm3. ;ZC; 000053 POTENCIA EN kW. ;;;;
EXPOYER S A;30580446457;mar-20;16/3/2020;CONSUMO;20001IC04047417M;8429.51.19.000P;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.;Las demás;Las demás;Buenos Aires;CHINA;CHINA;Acuatica;OLGM200458;FOB;8112,96;9600;Dólar Estadounidense;2150;0;No Encontrado;Unidad;292,5;nvo.s/uso imp;0001 - 0000;1;27100;27100;27100;27100;29542,5;WOLF;WL300;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;4136;0;0;0;0;0;3536;0;0;0;0;0;0;0;0;0;10;CA00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 005900 CILINDRADA EN cm3. ;ZC; 000097 POTENCIA EN kW. ;;;;
HEINZ LOOS S R L;30518133213;mar-20;16/3/2020;CONSUMO;20038IC04002036K;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);Mendoza;CHINA;CHINA;Camion;TRICHI20/024;CIF;9258,83;10955,89;Dólar Estadounidense;2514,69;0;No Encontrado;Unidad;204,57;nvo.s/uso imp;0001 - 0000;1;38400;38400;38400;38400;41119,26;XCMG;XP 203;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;16814;0;0;0;0;0;14376;0;0;13692;0;3423;0;8215;0;0;10;CA00; ;ZA; 002020 AÑO DE FABRICACION. ;ZB; 003319 CILINDRADA EN cm3. ;ZC; 000092 POTENCIA EN kW. ;;;;
GRUAS SAN BLAS S A;30660920451;mar-20;19/3/2020;DEPÓSITO FISCAL;20001IDA4001612R;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;Buenos Aires;FRANCIA;FRANCIA;Acuatica;H0588610;FOB;13175,1;15589,98;Dólar Estadounidense;1075,04;0;No Encontrado;Unidad;1186,64;nvo.s/uso imp;0001 - 0000;2;67702,43;135404,86;67702,43;135404,86;137666,54;BOBCAT;TL35.70;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 000075 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
IRON GROUP S.A.;33707784429;abr-20;7/4/2020;CONSUMO;20001IC04053777S;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);Buenos Aires;BRASIL;BRASIL;Acuatica;ONEYSAOA10275400;CFR;10986,3;13000;Dólar Estadounidense;613;0;No Encontrado;Unidad;601,63;nvo.s/uso imp;0001 - 0000;1;59550;59550;59550;59550;60764,63;XCMG;XS123PDBR;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;6380;0;0;6076;0;1519;0;0;0;0;10;CA00; ;ZA; 002020 AÑO DE FABRICACION. ;ZB; 006871 CILINDRADA EN cm3. ;ZC; 000097 POTENCIA EN kW. ;;;;
G S B  SERVICIOS ESPECIALES SA;30708175648;abr-20;8/4/2020;ZONA FRANCA;20033ZFI5001125D;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;La Plata;FRANCIA;FRANCIA;Camion;;CFR;11554,2;13672;Euro;1850,02;0;No Encontrado;Unidad;1078,18;nvo.s/uso imp;0001 - 0000;2;48514,985;97029,97;52983,265;105966,53;108894,73;MANITOU;MLT X 732;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 000070 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
G S B  SERVICIOS ESPECIALES SA;30708175648;abr-20;13/4/2020;ZONA FRANCA;20033ZFI5001141B;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;La Plata;FRANCIA;FRANCIA;Camion;;CFR;11552,52;13670;Euro;1842,23;0;No Encontrado;Unidad;1073,63;nvo.s/uso imp;0001 - 0000;2;48515;97030;52760,065;105520,13;108435,99;MANITOU;MLT X 732;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 000070 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
GRUAS SAN BLAS S A;30660920451;abr-20;15/4/2020;CONSUMO;20033ZFE1002452W;8427.20.90.990L;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;La Plata;ITALIA;ZF LA PLATA (BS AS);Camion;;CFR;15558,29;18410;Euro;5269,23;0;No Encontrado;Unidad;1544,87;nvo.s/uso imp;0001 - 0000;1;135788,97;135788,97;149218,64;149218,64;156032,74;MANITOU;MHT X 10130;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;21845;0;0;0;0;0;18677;0;0;17788;0;4582;0;10673;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 000129 POTENCIA EN kW. ;ZC; 004250 CILINDRADA EN cm3. 
GRUAS SAN BLAS S A;30660920451;abr-20;15/4/2020;CONSUMO;20033ZFE1002453A;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;La Plata;FRANCIA;ZF LA PLATA (BS AS);Camion;;CFR;5875,98;6953;Euro;897,8;0;No Encontrado;Unidad;560,69;nvo.s/uso imp;0001 - 0000;1;50205,99;50205,99;55171,41;55171,41;56629,9;MANITOU;MLT X 732;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;7928;0;0;0;0;0;6779;0;0;6456;0;1660;0;3873;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 000070 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
ALFREDO CRIOLANI E HIJOS S A;30562317887;abr-20;16/4/2020;CONSUMO;20052IC04002758R;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;Rosario;REINO UNIDO;REINO UNIDO;Acuatica;606977222;CIF;6101,62;7220;Dólar Estadounidense;850;0;No Encontrado;Unidad;250;nvo.s/uso imp;0001 - 0000;1;52931;52931;52931;52931;54031;JCB;531 70F;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;15129;0;0;0;0;0;12935;0;0;12319;0;3080;0;7391;0;0;10;CA00; ;NA00; ;NB00; ;ZA; 002020 AÑO DE FABRICACION. ;ZB; 000074 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
ALFREDO CRIOLANI E HIJOS S A;30562317887;abr-20;16/4/2020;CONSUMO;20052IC04002758R;8427.20.90.390D;"  CARRETILLAS APILADORAS; LAS DEMÁS CARRETILLAS DE INCORPORADO.";  Las demás;Las demás;Rosario;REINO UNIDO;REINO UNIDO;Acuatica;606977222;CIF;6101,62;7220;Dólar Estadounidense;850;0;No Encontrado;Unidad;250;nvo.s/uso imp;0002 - 0000;1;52931;52931;52931;52931;54031;JCB;531 70F;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;NA00; ;NB00; ;ZA; 002020 AÑO DE FABRICACION. ;ZB; 000074 POTENCIA EN kW. ;ZC; 004400 CILINDRADA EN cm3. 
